,Unnamed: 0,geo_name,date,vessel_type,num_ships
17,17,Port Klang,2020-08-05,Cargo,1
18,18,Port Klang,2020-08-01,Cargo,2
19,19,Port Klang,2020-08-07,Tanker,2
20,20,Port Klang,2020-08-17,Cargo,3
21,21,Port Klang,2020-08-19,Cargo,1
22,22,Port Klang,2020-08-12,Tanker,1
23,23,Port Klang,2020-08-05,Tanker,1
24,24,Port Klang,2020-08-29,Cargo,2
25,25,Port Klang,2020-08-30,Cargo,2
26,26,Port Klang,2020-08-25,Cargo,1
27,27,Port Klang,2020-08-10,Tanker,3
28,28,Port Klang,2020-08-04,Cargo,1
29,29,Port Klang,2020-08-14,Tanker,2
30,30,Port Klang,2020-08-27,Cargo,3
31,31,Port Klang,2020-08-26,Tanker,1
32,32,Port Klang,2020-08-20,Cargo,1
33,33,Port Klang,2020-08-10,Cargo,1
34,34,Port Klang,2020-08-20,Tanker,1
35,35,Port Klang,2020-08-09,Cargo,1
0,0,Port Klang,2020-09-04,Cargo,2
1,1,Port Klang,2020-09-17,Tanker,2
2,2,Port Klang,2020-09-17,Cargo,3
3,3,Port Klang,2020-09-25,Tanker,1
4,4,Port Klang,2020-09-25,Cargo,3
5,5,Port Klang,2020-09-29,Tanker,2
6,6,Port Klang,2020-09-07,Cargo,2
7,7,Port Klang,2020-09-04,Tanker,2
8,8,Port Klang,2020-09-20,Cargo,1
9,9,Port Klang,2020-09-27,Cargo,1
10,10,Port Klang,2020-09-05,Tanker,2
11,11,Port Klang,2020-09-02,Tanker,1
12,12,Port Klang,2020-09-05,Cargo,1
13,13,Port Klang,2020-09-20,Tanker,3
14,14,Port Klang,2020-09-24,Tanker,1
15,15,Port Klang,2020-09-30,Cargo,1
16,16,Port Klang,2020-09-10,Cargo,1
17,17,Port Klang,2020-09-28,Tanker,2
18,18,Port Klang,2020-09-22,Tanker,1
19,19,Port Klang,2020-09-11,Cargo,4
20,20,Port Klang,2020-09-03,Cargo,2
21,21,Port Klang,2020-09-21,Tanker,2
22,22,Port Klang,2020-09-28,Cargo,3
23,23,Port Klang,2020-09-02,Cargo,2
24,24,Port Klang,2020-09-11,Tanker,4
